,Master US firm name,TFR-500,Moodys 32,Moodys 34
215,United Continental Corporation,True,False,False
216,United Fruit Company,True,False,False
217,United Press Associations,True,False,False
218,United Shoe Machinery Corporation,True,False,False
219,United States Hoffman Machinery Corporation,True,False,True
220,"United States Lines Operations, Inc.",True,False,False
221,United States Steel Corporation,False,True,False
222,"United Statess Lines, Co.",True,False,True
223,"Universal Picture Co., Inc.",True,False,True
224,Valvoline Oil Co.,False,False,True
225,Walter Kidde & Company,True,False,False
226,Watch Tower Bible & Tract Society,True,False,False
227,Waterman Steamship,True,False,False
228,Western Electric Export Corporation,True,False,False
229,Westhold Corporation,True,False,False
230,"William R. Warner & Co., Inc.",True,False,False
231,Witroth Corporation,True,False,False
232,Wm. Wrigley Jr. Company,False,False,True
233,Worthington Pump and Machinery Corp.,True,True,True
