US Company,TFR-500,Tenenbaum,Moodys 32,Moodys 34,HB 32,HB 34,HB GmbH
"Revertex Corporation of America, New York",False,True,False,False,False,False,False
Richard Hudnut,True,True,False,False,False,False,False
"Ridel-de Haën, Inc., New York",False,True,False,False,False,False,False
"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)",True,True,True,True,True,True,False
"Robert Reiner, Incorporated",True,False,False,False,False,False,False
Robert W. Hunt Company,True,False,False,False,False,False,False
Rossia International Corporation,False,False,False,False,True,True,False
Royal Baking Powder Company,False,False,True,True,False,False,False
"Royal Typewriter Company, Inc.",True,True,True,True,False,False,False
S O. Realizatio Co. Inc.,False,False,False,True,False,False,False
Schilling Estate Company,True,False,False,False,False,False,False
Schoonmaker-Scott Company,True,False,False,False,False,False,False
Seabrook International Engineering Corp.,False,False,False,True,False,False,False
Seiberling Rubber Co.,False,False,True,False,False,False,False
"Servel, Inc.",False,True,False,False,False,False,True
"Siemens Inc., New York",False,True,False,False,False,False,False
Signode International Limited,True,False,False,False,False,False,False
Signode Steel Strapping Co.,True,False,True,True,False,False,False
Silesian-American Corporation,False,True,True,True,False,False,False
Singer Mfg. Co.,True,True,False,False,False,False,False
"Socony-Vacuum Oil Company, Inc.",True,True,False,False,True,False,False
Spirella International Incorporated,True,False,False,False,False,False,False
St. Andrews Bay Lumber Co.,False,False,False,True,False,False,False
St. Regis Paper Co.,True,False,False,False,False,False,False
"Standard Brand, Inc.",False,True,False,False,False,False,False
"Standard Commercial Tobacco Co., Inc.",True,False,True,False,False,False,False
Standard I.G.,False,True,False,False,False,False,False
Standard Oil Company (Indiana),False,False,True,False,False,False,False
Standard Oil Company (New Jersey),True,True,True,True,True,True,False
Stauffer Chemical Co.,True,False,False,False,False,False,False
Steinway & Sons,True,False,False,False,False,False,False
Submarine Signal Co.,True,False,False,False,False,False,False
Swift & Company,True,False,False,False,False,False,False
Swift and Company (Illinois),True,False,False,False,False,False,False
"Swiss ""Borvisk"" Company",True,False,False,False,False,False,False
"Th. Goldschmidt Corporation, New York",False,True,False,False,False,False,False
The ARMCO International Corporation,True,True,False,False,False,False,False
"The American Express company, Incorporated.",True,True,False,False,False,False,False
The American Laundry Maschinery Co.,True,False,False,False,False,False,False
The Atlantic Refining Company,True,True,False,True,False,False,False
The Babcock & Wilcox Company,True,False,False,False,False,True,False
The Brecht Corporation,True,False,False,False,False,False,False
"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",True,True,False,False,False,False,True
"The Coca-Cola Export Corporation (101 W. 10th Street Wilmington, Delaware)",True,False,False,False,False,False,False
The Deimel Linen-Mesh System Company,True,False,False,False,False,False,False
The Dentists' Supply Co. of New York,True,False,False,False,False,False,False
The Dorr Co.,True,True,False,False,False,False,False
