firm_id,firmname,firmname_page,firmname_start_line,firmname_end_line,next_firmname_start_line
132,Bank für Bauten,246,3229,3229,3289
133,Dresdner Treuhand-Aktiengesellschaft,247,3289,3289,3315
134,Mitteldeutsche Treuhand-Aktiengesellschaft,248,3315,3315,3337
135,„Vaterland“ Gemeinnützige Bauspar-Aktiengesellschaft,248,3337,3337,3352
136,Hollandsche Credietbank Akt.-Ges. in Liqu. in Düsseldorf.,248,3352,3352,3372
137,Niederrheinische Treuhand-Akt.-Ges.,249,3372,3372,3392
138,Örganisations- u. Handels-Aktiengesellschaft,249,3392,3392,3419
139,Rheinischer Bankverein Prince & Co. K.-G. a. A. in Liqu.,249,3419,3419,3425
140,Ernst Tewes Bank- und Verwaltungsaktiengesellschaft,249,3425,3425,3455
141,Schiffahrts- u. Handelsbank Akt.-Ges. in Liqu. in Duisburg.,250,3455,3455,3458
142,"Handels- und Gewerbebank, Akt.-Ges.",250,3458,3458,3481
143,Revisions- und Treuhand-Aktiengesellschaft beeidigter Bicherrevisoren und Wirtschaftsberater,250,3481,3482,3514
144,"Niederrheinische Kreditbank Akt.-Ges. in Liqu., Erkelenz.",251,3514,3514,3540
145,Eschweiler Bank Akt.-Ges.,251,3540,3540,3556
146,Essener Privatbank Akt.-Ges.,251,3556,3556,3580
147,Rheinisch-Westfälische Baukasse Aktiengesellschaft,252,3580,3580,3600
148,„Treuhand“ Rheinisch -Westfälische Revisions-Akt.-Ges.,252,3600,3600,3608
149,Flensburger Volksbank in Liqu.,252,3608,3608,3622
150,"Industrie- und Gewerbebank, K.-G. a. A. in Liqu.,",253,3622,3622,3627
151,Allgemeine Revisions- u. Verwaltungs-Akt.-Ges.,253,3627,3627,3670
152,Bank der Arbeit Aktiengesellschaft,253,3670,3670,3676
153,Eisenbahn-Bank,253,3676,3676,3792
154,Eisenbahn-Renten-Bank,255,3792,3792,3908
155,Frankfurter Getreidebank Akt.-Ges. in Liqu.,257,3908,3908,3929
156,Frankfurter Treuhand- u. Revisions-Ges. Akt.-Ges.,257,3929,3929,3958
157,"„Irtag“ Internationale Revisions- und Treuhand-A.-G., vormals: Stener-Trenhand-A.-G.",258,3958,3959,3984
158,Metallbank Aktiengesellschaft,258,3984,3984,4006
159,Süddeutsche Industrie-Aktiengesellschaft in Liqu.,258,4006,4006,4034
160,"Südwestdeutsche Bank Aktiengesellschaft iı in ""Lign.",259,4034,4034,4060
161,Westbank Aktiengesellschaft,259,4060,4060,4119
162,"„Wirtschaftshilfe“ Aktiengesellschaft für Verwaltung und Finanzierung, Frankfurt a.M. (In Konkurs.)",260,4119,4120,4155
163,"Handels- u. Gewerbebank Godesberg, Akt.-Ges. in Liqu.",261,4155,4155,4163
