band,page,firmname
1,397,"J. Mehlich, Aktiengesellschaft."
1,398,"Corona, Fahrradwerke u. Metallindustrie, Act.-Ges. in Liqu."
1,398,Braunschweiger Aktiengesellschaft für Industriebeteiligungen.//
1,400,Karges-Hammer Maschinenfabrik Aktiengesellschaft. ///
1,401,Pantherwerke Aktiengesellschaft.
1,401,Apparatebau Aktiengesellschaft.
1,402,"Bremer Silberwarenfabrik-Aktiengesellschaft,"
1,402,Norddeutsche Waggonfabrik Aktiengesellschaft.
1,403,* Nordwest-Metall-Aktiengesellschaft.
1,403,Archimedes Schlesisch-Sächsische Schraubenfabriken Aktiengesellschaft.
1,404,"E. F. Ohle’s Erben, Aktiengesellschaft."
1,404,"Chr. Prinzler & Söhne, Aktiengesellschaft."
1,405,Auto Union Aktiengesellschaft.
1,406,F. £. Baum Aktiengesellschaft.
1,406,J. E. Reinecker Aktiengesellschaft.
1,408,Sachs. Werkzeugmaschinenfabrik Bernhard Escher Akt.-Ges.
1,409,"Schubert & Salzer, Maschinenfabrik Aktien-Gesellschaft. //"
1,411,Crimmitschauer Maschinenfabrik.
1,411,* Herdfabrik Delligsen Aktiengesellschaft.
1,411,Schüchtermann & Kremer-Baum Aktiengesellschaft für Aufbereitung.
1,413,Heinr. Aug. Schulte Eisen-Aktiengesellschaft.
1,414,Dresdner Strickmaschinenfabrik Irmscher & Witte Aktiengesellschaft.
1,415,Clemens Müller Aktiengesellschaft.
1,416,Deutsche Drahtwalzwerke Aktiengesellschaft.
1,416,Düsseldorfer Eisenbahnbedarf vorm. Carl Weyer & Co.
1,416,Eisen & Draht Aklien-Gesellschaft.
1,417,Eisenkonstruktionen u. Maschinenfabrik-Aktiengesellschaft.
1,417,Rheinische Metallwaaren- und Maschinenfabrik „Rheinmetall“. //
1,420,Rhenania Vereinigte Emaillierwerke Aktien-Gesellschaft.
1,422,Vereinigte Silberwaaren-Fabriken Aktiengesellschaft.
1,423,Espera Schnellwaagenwerke H. Sporkhorst Aktiengesellschaft.
1,423,Badische Maschinenfabrik und Eisengiesserei vormals G. Sehold u. Sehold & Neff.
1,424,Maschinenfabrik Lorenz Akt-Ges.
1,424,Mea Vertriebs-Aktiengesellschaft in LiqiL
1,425,"Klein, Schanzlin & Becker Aktiengesellschaft."
