band,firmname_page,firmname
1,411,Steglitzer Hypotheken- und Grundstücks-Akt.-Ges. in Liqu.
1,411,Sybelstrasse 16 Grundstücks-Verwertungs-Akt.-Ges. in Liqu.
1,412,Tempelhofer Feld Akt.-Ges. für Grundstücksverwertung
1,413,"Terrain-Aktiengesellschaft Cladower-Schanze,"
1,413,"Terrain-Aktiengesellschaft Nieder-Schönhausen in Liqu,,"
1,414,Terrain-Gesellschaft Gross-Liehterfelde
1,414,"Trabener Strasse 21, Grundstücks-Akt.-Ges."
1,415,"Urbelo, Berliner Grundstücks-Akt.-Ges."
1,415,"Villeneolonie „Oberspree“ Akt.-Ges. in Liqu., Berlin"
1,415,Vorort Steglitz Grundstücks-Verwertungs-Akt.-Ges.
1,416,Waren-Handelsgesellschaft für landwirtschaftlichen Bedarf
1,416,"Westen Villenbau Akt.-Ges. in Liqu.,"
1,416,"Wicking Aktien-Gesellschaft für Grundstücksverwaltung,"
1,417,Wilmersdorfer Wohnungs- und Garagen-Bau- Aktiengesellschaft
1,417,"Wohnhaus Carmerstrasse 2, Grundstücksverwaltungs-A.-G."
1,417,Bielefelder Baugesellschaft in Liqu. in Bielefeld.
1,417,Schiffahrtskontorhaus Akt.-Ges.
1,418,Gelände- & Bau-Aktien-Gesellschaft
1,418,Gebrüder Goedhart Akt.-Ges.
1,419,Industrieterrains Düsseldorf-Reisholz A.-G.
1,420,Stahlwerk Niederrhein Aktiengesellschaft in Liqu.
1,420,Eilenburger Nahrungsmittelwerke Akt.-Ges.
1,421,Kölnische Boden-Akt.-Ges.
1,421,Bau- und Ansiedelungs-Akt.-Ges.
1,422,"Franken-Allee, Aktiengesellschaft"
1,423,"Terrain-Ges. Gräfelfing Akt.-Ges. in Lign., Gräfelfing."
1,423,Hagener Grundstücks-Akt.-Ges.
1,423,Aktiengesellschaft zur Beschaffung von Büroräumen
1,423,"Bürohaus Soorstrasse Akt.-Ges. in Liqu., Hamburg."
1,423,F. Harriefeld Akt.-Ges.
1,425,Seelhorst Grundstücks-Aktiengesellsehaft
1,425,Boden-Gesellschaft Heidenau Akt.-Ges. in Liqu.
1,425,Akt.-Ges. für Kleinwohnungsbau in Hofheim a. Ts.
1,426,Gemeinnützige Baugesellschaft Keula Akt.-Ges. in Liqu.
1,426,"Aktiengesellschaft für Grundstücks-Verwaltung und Verwertung Köln, Hohestrasse 1/13"
1,426,Balsam Aktiengesellschaft
1,427,Gemeinnütziger Bauverein Königswusterhausen Akt.-Wes.
1,427,Gemeinnützige Krefelder Siedlungs- Aktiengesellschaft
1,428,Akt.-Ges. für Grundstücksverwertung
1,428,Eisenbetonbau-Akt.-Ges. vormals Vetterlein & Co. in Liqu.
1,428,Grundstücks-Aktiengesellsehaft Hainstrasse 4 in Liqu.
1,429,Leipziger Westend-Baugesellschaft
1,430,Schweizerhaus Akt.-Ges.
1,430,"Baugesellschaft Nikolaiplatz, Aktiengesellschaft"
1,431,Baugesellschaft Widenmayerstrasse Akt.-Ges.
1,431,"Gautinger Immobilien-Gesellschaft, Akt.-Ges. in Liqu."
1,431,"Grundbesitz-Akt.-Ges. Haidhausen in Liqu., München."
1,432,"Grundstücksverwaltungs- & Verwertungsgesellschaft Rumfordstr. 36/58 in München, Aktiengesellschaft"
1,432,Grundverwertungs-Aktiengesellschaft Mülheim-Ruhr
1,432,Hausgesellschaft Dachauerstrasse München Akt.-Ges.
1,433,Immobiliengesellschaft München-Süd-Ost Akt.-Ges.
1,433,„Orag“ Aktiengesellschaft für Schneidereibedarf
1,434,„Strabeda“ Aktiengesellschaft für Strassenbau in Liqu.
1,434,Terrain-Akt.-Ges. München-Nymphenburg
1,434,"Max Ercklentz & Co. Akt.-Ges. in M.Gladbach,"
1,435,Heinr. Hermes Akt.-Ges.
1,435,Deutsche Kleinwohnungsbau-Aktiengesellschaft
1,435,Terrain-Aktiengesellschaft Nürnberg-Süd in Liqu.
1,436,"J. B. Weber, Akt.-Ges."
1,436,Grundstücks-Verwaltungs- und Verwertungs-Akt.-G
1,436,"Saarow-Pieskow, Landhaussiedelung am Scharmützelsee"
1,437,Kontorhaus Merkur Aktiengesellschaft
1,437,Minervabau-Akt.-Ges.
1,437,Aktien-Baugesellschaft Uerdingen
1,438,"Waldkolonie Müritzsee Akt.-Ges. in Liqu., Waren (Meckl.)."
1,438,Eisenbau Wyhlen Akt.-Ges.
1,438,"Dergwerke, Hütten- u. Salinenwesen, Erdöl- u. Torfgewinnung. Baroper Walzwerk, Akt.-Ges."
1,440,Akt.-Ges. für Bergwerks- u. Chemische Betriebe
1,440,Akt.-Ges. für Unternehmungen der Eisen- u. Stahlindustrie
1,440,Bergbau- und Chemische Industrie-Akt.-Ges.
1,441,Gebr. Böhler & Co. Aktiengesellschaft
1,442,Braunkohlen- und Brikett-Industrie A.-G. — Bubiag —
1,444,Kohlenbrikett Aktiengesellschaft in Liqu.
1,444,Metallhüttenwerk Kurt Guttsmann Akt.-Ges.
1,445,Nero Akt.-Ges. für Braunkohlenverwertung
1,445,Niederlausitzer Kohlenwerke
1,447,"Ostdeutsche Montanindustrie Akt.-Ges. in Liqu., Berlin."
1,448,Preussengrube Akt.-Ges.
1,449,Thyssen Eisen- u. Stahl-Aktiengesellschaft
1,449,Vereinigte Königs- und Laurahütte
1,451,"Bitterfelder Louisen-Grube, Kohlenwerk und Ziegelei."
1,452,"Westfälische Eisen- u. Drahtwerke Akt.-Ges,,"
1,453,"Braunkohlen- und Briketwerke Roddergrube,"
1,456,Akt.-Ges. Oberbilker Stahlwerk
1,457,Capito & Klein Akt.-Ges.
1,458,Press- & Walzwerk Akt.-Ges.
1,458,Rheinisch-Westfälische Stahl- u. Walzwerke Akt.-Ges.
1,460,Stahlwerk Oeking Aktiengesellschaft
1,461,Vereinigte Stahlwerke Aktiengesellschaft
1,464,Stand Arbeiter | Angestellte zus. Davon Steinkohlenbergbau
1,470,Stahlwerk Ergste Aktiengesellschaft
1,470,"Stahlwerk Werner, Akt.-Ges., Erkrath bei Düsseldorf."
1,471,Fried. Krupp Aktiengesellschaft
1,474,Roheisen Rohstahl Walzwerks-
1,477,Ruhr Montanindustrie Aktiengesellschaft
1,477,"Torfwerk Feilenbach, Actiengesellschaft"
1,477,Sächsische Gußstahl-Werke Döhlen Aktiengesellschaft
1,480,"Geisweider Eisenwerke Actiengesellschatt,"
1,481,Gersdorfer Steinkohlenbau-Verein
1,482,Bayerische Braunkohlen-Akt.-Ges. in Liqu.
1,482,"Ilse, Bergbau-Actiengesellschaft"
1,486,Norddeutsche Kohlen- und Cokes-Werke A.-G.
1,487,Westfälische Drahtindustrie
1,488,Astrum -Erdöl- Aktiengesellschaft
1,489,Harbker Kohlenwerke
1,489,Braunschweigische Kohlen-Bergwerke
1,491,"Norddeutsche Braunkohlenwerke Akt.-Ges.,"
1,492,Bergbau- und Hütten-Aktien-Gesellschaft „Friedrichshütte“.
1,493,Griendtsveen Torfstreu-A.-G. “
1,494,Akt.-Ges. für Brennstoffverwertung
1,494,"„Glückauf“, Akt.-Ges. für Braunkohlen-Verwertung"
1,495,Prehlitzer Braunkohlen-Aktien-Gesellschaft
1,496,"Bayerische Berg-, Hütten- u. Salzwerke Aktiengesellschaft,"
1,497,"Bayerische Blei-Zinkbergbau-Akt.-Ges, München."
1,497,"Graphitwerk Kropfmühl, Akt.-Ges."
1,499,"Bleichertsche Braunkohlenwerke Neukirchen-Wyhra, A.-G."
1,500,"Stadtberger Hütte, Act.-Ges. in Liqu."
1,501,"Gutehoffnungshütte,"
1,503,Akt.-Ges. Peiner Walzwerk
1,503,Düsseldorfer Eisenhüttengesellschaft
1,504,Mitteldeutsche Stahlwerke Aktiengesellschaft
1,509,"Eisenwerk-Gesellschaft Maximilianshütte,"
1,512,Aue
1,514,"Eisen-Industrie zu Menden und Schwerte,"
1,514,Waldenburger Bergwerks-Aktiengesellschaft
1,515,"„Eintracht“, Braunkohlenwerke und Briketfabriken"
1,516,Stahlwerke Brüninghaus Akt.-Ges.
1,517,Friedrich Thomece Aktiengesellschaft
1,518,Gussstahl-Werk Witten
1,519,"Metallindustrie, Maschinen-, Apparate- und Fahrzeugbau, Edelmetall- und Schmuckwaren."
1,519,"Edelmetall- und Schmuckwaren. Östertag-Werke Vereinigte Geldschrankfabriken, Akt.-Ges."
1,520,"Joh. Moritz Rump, Akt.-Ges."
1,520,"Maschinenfabrik Esterer, Akt.-Ges."
1,521,Metallisator Akt.-Ges.
1,521,Annweiler Kmail- u. Metall-Werke
1,522,Berkenhoff & Drebes Akt.-Ges.
1,523,"Maschinenfabrik Hiltmann & Lorenz, A.-G."
1,524,"Sächsische Metallwarenfabrik August Wellner Söhne,"
1,525,Maschinenfabrik Augsburg-Nürnberg A.-G.
