,Master US firm name,Master German firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,HB GmbH class,IDed in HB GmbH
21,The Yale & Towne Manufacturing Company,B.K.S. Handelsgesellschaft m.b.H.,True,True,True,False,,False
22,Bakelite Corp.,Bakelite Gesellschaft,False,False,True,False,USO,True
23,International Telephone and Telegraph Corp.,"Baruta Import and Export, GmbH",True,False,False,False,,False
24,St. Regis Paper Co.,Bates Maschinen GmbH,True,False,False,False,,False
25,Bausch & Lomb Optical Co.,Bausch & Lomb Optical Co.,False,False,False,False,USO,True
26,Silesian-American Corporation,Bergwerkgesellschaft Georg von Giesche's Erben,False,True,True,False,,False
27,Chicago Pneumatic Tool Co.,"Berlin-Oberschoeneweide, Germany",False,False,True,False,,False
28,"Hugo Stinnes Industries, Inc.",Bernauer & Co.,True,False,False,False,,False
29,"Hugo Stinnes Industries, Inc.",Bernhoeft & Wilde,True,False,False,False,,False
30,Kraft Cheese Company,"Betz & Jay, GmbH",True,False,False,True,,False
31,Blaw-Knox Co.,Blaw-Knox,False,False,False,False,USO,True
32,"Hugo Stinnes Industries, Inc.","Born, Mehring & Co, G.m.b.H.",True,False,False,False,,False
33,United Shoe Machinery Corporation,Boston Blacking Company G.m.b.H.,True,False,False,False,USO,True
34,Butler Brothers,"Butler Brothers, G.m.b.H.",True,False,False,False,USO,True
35,Schoonmaker-Scott Company,"Butler Brothers, G.m.b.H.",True,False,False,False,,False
36,"Hugo Stinnes Industries, Inc.",Cehapon Werk G.m.b.H.,True,False,False,False,,False
37,Eastman Kodak Company,Chemische Werke Odin (Germany),False,True,True,False,,False
38,Chesebrough Manufacturing Co. Consolidated,Chesebrough Manufacturing Co. G.m.b.H.,True,False,False,False,USO,True
39,"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",Coca-Cola G.m.b.H.,True,False,False,True,USO,True
40,"The Coca-Cola Export Corporation (101 W. 10th Street Wilmington, Delaware)",Coca-Cola G.m.b.H.,True,False,False,True,,False
41,Columbia Pictures Corp.,Columbia Film,False,False,False,False,USC,True
42,Felt & Tarrant Mfg. Co.,Comptometer G.m.b.H.,True,False,False,False,,False
43,"B. F. Goodrich Rubber Co., Akron, Ohio",Continale Cautchoucgesellschaft,False,False,False,True,,False
44,Crown Cork International Corporation,"Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany",False,False,True,False,,False
45,Corn Products Refining Company,Corn Products Co.,False,False,False,False,USO,True
46,American Nickel Alloy Mfg. Corp.,Cosmo Montangesellschaft fuer metallurgische Interessen m.b.H.,True,False,False,False,,False
47,International Telephone and Telegraph Corp.,Creed Telegraph Apparate G.m.b.H.,False,False,False,True,,False
48,"New Jersey Industries, Inc.","Defaka, Deustche Familienkaufhaus G.m.b.H.",True,False,False,False,,False
49,Denver Chemical Mfg. Co.,Denver Chemical Mfg. Co. G.m.b.H.,True,False,False,False,,False
50,"Lykes Bros. Steamship Co., Inc.",Deutsche American Shipping Co. (Bremen) G.m.b.H.,True,False,False,False,,False
51,The Melltone Corporation,Deutsche Carborumdum Werke,True,False,False,False,,False
52,Celotex Co.,Deutsche Celotex Vertrieb,False,False,False,False,USO,True
53,International Business Machine Corp.,"Deutsche Geschaftmaschinen Gesellschaft, m.b.H.",False,True,False,False,,False
54,"B. F. Goodrich Rubber Co., Akron, Ohio",Deutsche Goodrich Compagnie G.m.b.H.,False,False,False,True,,False
55,International Business Machine Corp.,"Deutsche Hollerith Maschinen Gesellschaft, m.b.H.",True,True,False,True,,False
56,"Libby, McNeill & Libby","Deutsche Libby Gesellschaft, m.b.H.",True,False,False,False,,False
57,Corn Products Refining company,Deutsche Maizena G.m.b.H.,False,False,False,True,,False
58,Norton Company,"Deutsche Norton-Gesellschaft, m.b.H.",True,True,True,True,,False
59,Royal Baking Powder Company,"Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.",False,True,True,False,,False
60,"The Scholl Mfg. Co., Inc.",Deutsche Schollwerke G.m.b.H.,True,False,False,False,,False
61,American Radiator & Standard Sanitary Corporation,Deutsche Standard Werke G. m. b. H.,False,False,True,False,,False
62,The Timken Roller Bearing Company,"Deutsche Timken G.m.b.H., of Berlin",False,True,False,True,,False
63,Underwood Elliott Fisher Company,Deutsche Underwood Elliott Fisher G.m.b.H.,True,False,False,False,USO,True
64,United Shoe Machinery Corporation,Deutsche Vereinigte Schuhmaschinen Gesellschaft,True,False,False,False,,False
65,"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",Deutsche Vertriebs Gesellschaft m.b.H. für Naturgetränke,False,False,False,True,,False
66,Worthington Pump and Machinery Corp.,Deutsche Worthington Gesellschaft m.b.H.,True,True,True,True,,False
67,Dietaphone Corporation,Dietaphone Co. m.b.H.,True,False,False,False,,False
68,The Dorr Co.,Dorr Gesellschaft m.b.H.,True,False,False,True,,False
69,Oliver United Filters Inc.,"Dorr-Oliver G.m.b.H., Berlin, Germany",False,True,False,False,,False
70,International Telephone and Telegraph Corp.,Dr. Erich F. Huth G.m.b.H.,True,False,False,True,,False
71,"Durant Motors, Inc.",Durant Motors,False,False,False,False,USO,True
72,The Durer Corporation,"Durer Scheifmittel, G.m.b.H.",True,False,False,False,,False
73,Eagle Oil Company,Eagle Oil Company of New York,False,False,False,False,USO,True
74,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),Ebano Asphalt Gesellschaft m.b.H.,False,False,True,False,,False
75,"Hugo Stinnes Industries, Inc.",Eisenhof G.m.b.H.,True,False,False,False,,False
76,Hugo Stinnes Corporation,Eisenlager G.m.b.H.,True,False,False,False,,False
77,"Servel, Inc.",Elektrolux,False,False,False,False,USO,True
78,Arden Investing Co.,Elisabeth Arden G.m.b.H.,True,False,False,False,,False
79,Pan Foreign Corporation,"Emas Gesellschaft Fuer Strassenbaubedarf, m.b.H.",True,False,False,False,,False
80,North European Oil Corp.,"Erdoelwerke Wathlingen, Wuerttembergische Mineralgesellschaft m.b.H.",False,False,True,False,,False
81,"New England Industries, Inc.",Erkensator G.m.b.H.,True,False,False,False,,False
82,The Forak Company,Ethyl Gesellschaft m.b.H.,True,False,False,False,,False
83,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),Euphalt Gesellschaft m.b.H.,False,False,True,False,,False
84,North European Oil Corp.,Explora G.m.b.H.,False,True,False,False,,False
85,F. W. Woolworth Co.,F. W. Woolworth Co.,True,True,True,True,,False
86,American Cyanamid Company,Farsals-Gesellschaft m.b.H.,True,False,False,False,,False
87,Fisk Rubber Co.,Fisk Tyre Co. m.b.H.,False,False,False,True,,False
88,"Hugo Stinnes Industries, Inc.",Fr. Wwe. Wesseling G.m.b.H.,True,False,False,False,,False
89,"Hugo Stinnes Industries, Inc.",Fraenkischer Metallhandel G.m.b.H.,True,False,False,False,,False
90,Hudson Motor Car Company,Frederick Wirth & Company G.m.b.H.,True,False,False,False,,False
91,Hugo Stinnes Corporation,"Freidreichstrasse, 12, G.m.b.H.",True,False,False,False,,False
92,"Hugo Stinnes Industries, Inc.","Freidreichstrasse, 12, G.m.b.H.",True,False,False,False,,False
93,General Motors Corporation (Overseas Operations),Frigidaire G.m.b.H.,True,False,False,True,,False
94,"Hugo Stinnes Industries, Inc.",Fuhr-Betrieb G.m.b.H.,True,False,False,False,,False
95,Seiberling Rubber Co.,"Fulda Rubber Co. of Fulda, Germany",False,True,False,False,,False
96,"New England Industries, Inc.",Fullnerwerk G.m.b.H.,True,False,False,False,,False
97,"G. Hirsch Sons, Inc.","G. Hirsch & Sohn, G.m.b.H. Nuremberg, Germany",True,False,False,False,,False
98,"Hugo Stinnes Industries, Inc.",Gebrueder Boewen G.m.b.H.,True,False,False,False,,False
99,"Hugo Stinnes Industries, Inc.",Gebrueder Born G.m.b.H.,True,False,False,False,,False
100,"Hugo Stinnes Industries, Inc.",Gebrueder Hein G.m.b.H.,True,False,False,False,,False
101,General Motors Corporation (Overseas Operations),Gemeinnutsige Opel - Wohnban - G.m.b.H.,True,False,False,False,,False
102,General Motors Corporation (Overseas Operations),General Motors G.m.b.H.,True,False,False,False,USO,True
103,German-American Tobacco Co.,German-American Tobacco Co.,False,False,False,False,USO,True
104,"Standard Commercial Tobacco Co., Inc.",German-American Tobacco Co.,False,True,False,False,,False
105,International Telephone and Telegraph Corp.,Gesellschaft Fur Telephon-und Telegraphenbeteilungen m.b.H.,True,False,False,False,,False
106,Corn Products Refining company,Gesellschaft fur Industriebeteiligungen m.b.H.,True,False,False,False,,False
107,"Mccann-Erickson, Inc.",Gesellschaft fur markt und schgerechte Werberatung,True,False,False,False,,False
108,International Telephone and Telegraph Corp.,Gesellschaft für Telephon und Telegraphenbeteiligungen G.m.b.H.,False,False,False,True,,False
109,North European Oil Corp.,Gewerkschaft Regina zu Caan,False,False,True,False,,False
110,Gillette Safety Rasor Company,"Gillette Safety Rasor Company, G.m.b.H.",True,False,False,True,,False
111,Gillette Safety Rasor Company,Gillette Safety Razor Co.,False,False,False,False,USO,True
112,International Finance Company,Gluckskles Import and Export Gesellschaft m.b.H.,True,False,False,False,,False
113,International Finance Company,Gluckskles Michgesellschaft m.b.H.,True,False,False,False,,False
114,Crown Cork International Corporation,"H. A. Bender Bohne, of Mannheim, Germany",False,True,False,False,,False
115,"Hugo Stinnes Industries, Inc.",H. B. Blumenthal,True,False,False,False,,False
116,"Mccann-Erickson, Inc.","H. K. Mccann Company, m.b.H.",True,False,False,False,,False
117,"Hugo Stinnes Industries, Inc.",H. Westphal & Co.,True,False,False,False,,False
118,Tide Water Associated Oil Co.,Hamburg-Amerikanische Mineralol-G.m.b.H.,True,False,True,True,,False
119,Swift and Company (Illinois),Hanseatische Grundbitz Gesellschaft m.b.H.,True,False,False,False,,False
120,North European Oil Corp.,Harburger Bergbau G.m.b.H.,False,False,True,False,,False
121,Haskins & Sells,Haskins & Sells Revision-Gesellschaft m.b.H.,True,False,False,False,,False
122,The Hobart Manufacturing Company,"Hobart Gesellschaft, Hamburg, Germany",False,False,False,False,USO,True
123,The Hobart Manufacturing Company,"Hobart Maschinen Gesellschaft, m.b.H.",True,True,True,False,,False
124,United States Hoffman Machinery Corporation,Hoffman Bugelmaschinen Gesellschaft m.b.H.,True,False,True,True,,False
125,"Hugo Stinnes Industries, Inc.",Holm & Molzen G.m.b.H.,True,False,False,False,,False
126,"Holophane Company, Inc.",Holophane-Gesellschaft,False,False,False,False,USOP,True
127,Schilling Estate Company,Holzwarth Gasturbinen,True,False,False,False,,False
128,The Hoover Co.,Hoover G.m.b.H.,True,False,False,False,,False
129,Hudson Motor Car Company,Hudson Esser Motors Company M.H.,True,False,False,False,,False
130,"Hugo Stinnes Industries, Inc.",Hugo Stinnes G.m.b.H.,True,True,True,True,,False
131,Hupp Motor Car Corporation,Hupp Motors,False,False,False,False,USOP,True
132,Ingersoll-Rand Company,Ingersoll-Rand,False,False,False,False,USO,True
133,International Harvester Company,"International Harvester Company, m.b.H.",True,True,True,True,USO,True
134,International Harvester Export Co.,"International Harvester Company, m.b.H.",True,True,True,True,,False
135,Chicago Pneumatic Tool Co.,Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg),True,True,True,True,,False
136,Intertype Corporation,Intertype Fabrik G.m.b.H.,True,True,True,False,,False
137,Intertype Corporation,Intertype Setzmaschinen G.m.b.H.,True,True,True,False,,False
138,Underwood Elliott Fisher Company,Iris Type G.m.b.H.,True,False,False,False,,False
139,J. E. Bernard & Co. Inc.,J. E. Bernard & Co. G.m.b.H.,True,False,False,False,,False
140,"Hugo Stinnes Industries, Inc.",Jacob Trefz & Soehne,True,False,False,False,,False
141,Remington Rand Inc.,Jahresuhren Fabrik G.m.b.H.,True,False,False,False,,False
142,Kraft Cheese Company,Jocca Werke G.m.b.H.,True,False,False,True,,False
143,"Hugo Stinnes Industries, Inc.",Johann Lorenz Michel G.m.b.H.,True,False,False,False,,False
144,International Agricultural Corporation,Kaliwerke Sollstedt Gewerkschaft,False,False,False,True,,False
145,Remington Rand Inc.,Kardex System G.m.b.H.,True,False,False,False,,False
146,Corn Products Refining company,Karl Fr. Tollner Nachrmittelfabrik G.m.b.H.,True,False,False,False,,False
147,Julius Kayser & Company,"Kayser Textile-Gesellschaft, m. b. H. in Saxony",False,True,True,False,,False
148,I. B. Kleinert Rubbert Company,"Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung",True,True,True,False,,False
149,Eastman Kodak Company,Kodak Gesellschaft m. b. H.,False,False,True,False,,False
