,Master US firm name,Master German firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum
163,The National Cash Register Company,National-Krupp Registrier-Kassen G.m.b.H.,True,False,True,True
164,American Radiator & Standard Sanitary Corporation,Nationale Radiator Gesellschaft m.b.H.,True,True,True,True
165,"The International Nickel Company, Inc.","Nickel Informationburo, G.m.b.H.",True,False,False,False
166,Gulf Oil Corporation,Nobel-Good-Group,False,True,False,False
167,North European Oil Corp.,Nord-Europaeische Oel,True,False,False,False
168,Standard Oil Company (New Jersey),Norddeustche Mineraloelwerke Stettin G.m.b.H.,True,False,False,False
169,North European Oil Corp.,Nordeuropaeische Oelgesellschaft m.b.H.,False,False,True,False
170,"Hugo Stinnes Industries, Inc.",Nuernberger Kohlenhandles G.m.b.H.,True,False,False,False
171,Pure Oil Co.,Oelwerke Julius Schindler G.m.b.H.,True,False,False,True
172,The Pure Oil Company,Oelwerke Julius Schindler G.m.b.H.,True,False,False,True
173,Jadev Corporation,Oldenburgische Erdol Gesellschaft m.b.H.,True,True,False,False
174,North European Oil Corp.,Oldenburgische Oelausbeutungesellschaft m.b.H.,False,False,True,False
175,Witroth Corporation,Oppelener Lagerhaus Gesellschaft,True,False,False,False
176,Oppenheimer Casing Co. Del.,Oppenheimer Casing Co. m.b.H. Hamburg,True,False,False,False
177,North European Oil Corp.,Ost-Oel G.m.b.H.,False,True,False,False
178,Witroth Corporation,Ostrhederei,True,False,False,False
179,Otis Elevator Company,Otis Aufzugswerke G.m.b.H.,True,False,True,True
180,Colgate-Palmolive-Peet Co.,Palmolive-Binder & Ketals G.m.b.H.,True,False,True,True
181,"Paramount Pictures, Inc.","Paramount Film Vertreib G. m. b. H., Berlin, Germany",False,True,True,False
182,"Lentheric, Incorporated","Parfume Lentheric, G.m.b.H.",True,False,False,False
183,Parker Pen Co.,"Parker Pen Co., G.m.b.H., Berlin, Germany",False,True,False,False
184,The Permutit Company,Permutit Filter Co. G.m.b.H.,True,False,False,False
185,"Philip Morris & Co. Ltd., Inc.",Philip Morris & Co. Limited G.m.b.H.,True,False,False,False
186,Remington Rand Inc.,Powers G.m.b.H.,True,False,False,False
187,Standard Oil Company (New Jersey),Privatanschlussbahn Borgsdorf-Birkenwerder G.m.b.H.,True,False,False,False
188,Quaker Oats Co.,"Quaker Nahrmittel, G.m.b.H.",True,False,False,False
189,Quaker Oats Co.,Quaker Oats Co. G.m.b.H.,True,False,False,False
190,R. Schiffmann Co.,R. Schiffman & Co. G.m.b.H.,True,False,False,False
191,Hugo Stinnes Corporation,Rastatter Eisenhandel G.m.b.H.,True,False,False,False
192,The International Button Hole Sewing Machine Company,Reece Machinery Company,True,True,False,False
193,Remington Rand Inc.,Remington Buromaschinen G.m.b.H.,True,False,False,True
194,"Hugo Stinnes Industries, Inc.",Rheinische-Westfaelische Bergwerks Gesellschaft,False,True,False,True
195,International Affiliated Corporation,Richard Hudnut G.m.b.H.,True,False,False,False
196,Richard Hudnut,Richard Hudnut G.m.b.H.,True,False,False,False
197,International Telephone and Telegraph Corp.,"Rohr & Seilpost Anlagen, G.m.b.H.",True,False,False,True
