firm_id,page,block,line,firmname,firmname_y_start,firmname_y_end
417,535,3,1,Freia Braunkohlenwerke Aktiengesellschaft.,116.06682586669922,133.45614624023438
418,535,6,1,Passauer Grafitwerke Aktiengesellschaft.,312.33721923828125,330.3592224121094
419,535,9,1,Roth & Müller Akt.-Ges.,516.9060668945312,533.3862915039062
420,536,1,2,Aplerbecker-Actien-Verein für Bergbau  (Zeche ver. Margarethe).,70.09666442871094,89.22740173339844
421,536,4,1,Werk Herschelswaldau Aktiengesellschaft.,276.40386962890625,293.8103332519531
422,536,7,1,L. H. Lorch Aktiengesellschaft.,490.80133056640625,507.94732666015625
423,537,1,1,Hannoversche Kaliwerke Aktiengesellschaft.,55.31227111816406,76.87578582763672
424,537,4,1,"Schweitzer & Oppler, Aktiengesellschaft.",441.5638427734375,459.5638427734375
425,538,1,1,Waldenburger Bergwerks-Aktiengesellschaft.,55.578758239746094,74.1527328491211
426,538,5,1,Dessauer Waggonfabrik Aktiengesellschaft.,448.5428466796875,464.9745178222656
427,539,1,1,Eisenwerk Diliingen-Donau-Aktiengesellschaft.,54.08604431152344,72.98008728027344
428,539,4,1,"Ro tax-Werk, vorm. F. Gottschalk & Co., Aktiengesellschaft.",201.01358032226562,219.34368896484375
429,539,7,1,des A.-K. von 3 000 000 M auf 900 000 RM. Lt. G.-V. ! Janos-Lampen-Aktiengesellschaft.,372.2598571777344,387.42913818359375
430,539,10,1,Fischer Aktiengesellschaft für Blechverarbeitung.,521.3138427734375,539.3138427734375
431,540,1,1,Ariston-Elka Maschinenfabrik Aktiengesellschaft.,50.1362190246582,69.21478271484375
432,540,4,1,"Franz Bahner, Aktiengesellschaft.",292.51666259765625,308.65313720703125
433,540,7,1,Baumaschinenfabrik Bünger Aktiengesellschaft.,454.40606689453125,470.88629150390625
434,541,3,1,Metallwerk Montania Aktiengesellschaft.,134.66305541992188,151.72755432128906
435,541,5,1,Ekameta Aktiengesellschaft.,252.33018493652344,276.11248779296875
436,541,8,1,Einsaler Walzwerke Gottl. Ernst Hasenclever Akt.-Ges.,394.37066650390625,413.1531066894531
437,541,11,1,Draht- und Schrauben-Fabrik „Falkau“.,547.0731201171875,564.1375732421875
438,542,1,1,"Herz & Kops Bettfedernfabrik, Akt.-Ges.",48.867794036865234,67.52214813232422
439,542,4,1,Absatzfinanzierung Aktiengesellschaft.,183.0192413330078,200.68234252929688
440,542,7,1,Magdeburger Versicherungs-Vermittelungs-Aktien-Gesellschaft.,357.17559814453125,375.42388916015625
441,542,10,1,Pototzky & CoM Aktiengesellschaft für Versicherungswesen.,533.2566528320312,552.3873901367188
442,543,1,1,Silesia Allgemeine Versicherungs-Aktien-Gesellschaft.,51.81066131591797,70.59310913085938
443,543,4,2,"Kranken- und Sterbekasse für selbständige Handwerker,  Gewerbetreibende und Landwirte, Aktiengesellschaft,",454.4609375,470.6840515136719
444,544,1,1,Bank für Mittelsachsen Aktien-Gesellschaft.,50.05387496948242,68.05387878417969
445,544,3,38,Verwaltungsgesellschaft für Fettindustrie Aktiengesellschaft.,348.51129150390625,369.8651123046875
446,544,5,14,Verkehrs-Bank Aktiengesellschaft.,485.1692199707031,501.96185302734375
447,545,1,1,Bauwirtring Aktiengesellschaft.,52.60386276245117,70.60386657714844
448,545,11,1,Ashelm Industriegebäude Aktien-Gesellschaft.,511.1535949707031,529.4837036132812
449,546,1,2,Leipziger Transport- und Rückversicherungs-  Aktien-Gesellschaft.,70.71642303466797,85.73066711425781
450,546,8,1,"Bremer Bank-Verein Aktiengesellschaft, Bremerhaven.",464.213623046875,482.5437316894531
451,546,11,1,Spar- und Creditbank Leubsdorf.,572.114501953125,593.3981323242188
452,547,1,1,Gilde Deutsche Versicherungs-Aktiengesellschaft.,57.04623031616211,75.86091613769531
453,547,4,1,Treuhand und Steuerberatung Aktiengesellschaft.,529.878662109375,548.45263671875
454,548,1,1,Admiralspalast Aktien-Gesellschaft.,55.441001892089844,73.99879455566406
455,548,4,2,Central Lloyd Verwaltungs- u. Versicherungs-Kontroll-  Aktien-Gesellschaft der Agrippina-Gruppe.,331.4214782714844,349.6752624511719
456,548,7,1,Hypotheken- u. Kommunalkredit-Aktiengesellschaft in Liqu.,600.8106689453125,619.5931396484375
457,549,1,1,Niederrheinische Bank Aktien-Gesellschaft.,52.33623123168945,71.414794921875
458,549,4,2,Gewerbebank Aktiengesellschaft in Liqu.,458.6009826660156,474.8240966796875
459,550,3,1,„Industrie“ Versicherungs-Aktien-Gesellschaft.,111.90380859375,129.31027221679688
