US Company,TFR-500_link_type,TFR-500,Tenenbaum_link_type,Tenenbaum,Moodys 32_link_type,Moodys 32,Moodys 34_link_type,Moodys 34,HB 32_link_type,HB 32,HB 34_link_type,HB 34,HB GmbH_link_type,HB GmbH
"New Jersey Industries, Inc.",USO,True,,False,,False,,False,,False,,False,,False
New York Shipbuilding Corporation,,False,,False,USC,True,USC,True,,False,,False,,False
"North American Rayon Corporation, Tenessee",,False,USO,True,,False,,False,,False,,False,,False
North European Oil Corp.,USOP,True,,False,USO,True,USO,True,,False,,False,,False
Northeastern Insurance Company of Hartford,USO,True,,False,,False,,False,,False,,False,,False
Norton Company,USO,True,USO,True,USO,True,USO,True,,False,,False,,False
O-Cedar Corporation,,False,,False,,False,,False,,False,,False,USC,True
Oliver United Filters Inc.,,False,,False,USO,True,,False,,False,,False,,False
Oppenheimer (S.) & Company,,False,,False,,False,,False,,False,,False,USO,True
Oppenheimer Casing Co. Del.,USO,True,,False,,False,,False,,False,,False,,False
"Ore & Chemical Corporation, New York",,False,DEO,True,,False,,False,,False,,False,,False
Otis Elevator Company,USO,True,USO,True,,False,USO,True,,False,,False,,False
Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),,False,USO,True,USO,True,USO,True,,False,,False,,False
Pan Foreign Corporation,USO,True,,False,,False,,False,,False,,False,,False
"Paramount Pictures, Inc.",USO,True,,False,USO,True,USO,True,USOP,True,USOP,True,,False
Parker Pen Co.,,False,,False,USO,True,Others,True,,False,,False,USO,True
"Peat, Marwick, Mitchell & Co. (General Partnership)",USC,True,,False,,False,,False,,False,,False,,False
"Pembroke Chemical Co., Florida",,False,DEO,True,,False,,False,,False,,False,,False
Penton Publishing Co.,,False,,False,Others,True,Others,True,,False,,False,,False
"Philip Morris & Co. Ltd., Inc.",USO,True,,False,,False,,False,,False,,False,USO,True
Pitney-Bowes Postage Meter Co.,,False,,False,,False,USC,True,,False,,False,,False
Pown Corporation,USO,True,,False,,False,,False,,False,,False,,False
"Price, Waterhouse & Co.",USC,True,,False,,False,,False,,False,,False,,False
Pueping (Fred) Leather Co.,,False,,False,Others,True,,False,,False,,False,,False
Pure Oil Co.,USO,True,USO,True,,False,,False,,False,,False,,False
Pyrene Minimax Corporation,,False,DEO,True,,False,,False,,False,,False,,False
Quaker Oats Co.,USO,True,,False,Others,True,Others,True,,False,,False,USO,True
R. Schiffmann Co.,USO,True,,False,,False,,False,,False,,False,,False
Radio Corporation of America,,False,,False,USC,True,USO,True,,False,,False,,False
Radio-Keith-Orpheum Corporation (Controlled by Radio Corp. of America),,False,,False,Others,True,USC,True,,False,,False,,False
Remington Rand Inc.,USO,True,USO,True,USO,True,USC,True,USO,True,,False,,False
"Revertex Corporation of America, New York",,False,DEO,True,,False,,False,,False,,False,,False
Richard Hudnut,USO,True,USO,True,,False,,False,,False,,False,,False
"Ridel-de Haën, Inc., New York",,False,DEO,True,,False,,False,,False,,False,,False
"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)",USO,True,USO,True,USO,True,USO,True,USO,True,USO,True,,False
"Robert Reiner, Incorporated",USO,True,,False,,False,,False,,False,,False,,False
Robert W. Hunt Company,USO,True,,False,,False,,False,,False,,False,,False
Rossia International Corporation,,False,,False,,False,,False,USO,True,USO,True,,False
Royal Baking Powder Company,,False,,False,USO,True,USO,True,,False,,False,,False
"Royal Typewriter Company, Inc.",USO,True,USO,True,USC,True,USC,True,,False,,False,,False
S O. Realizatio Co. Inc.,,False,,False,,False,USO,True,,False,,False,,False
Schilling Estate Company,USO,True,,False,,False,,False,,False,,False,,False
Schoonmaker-Scott Company,USO,True,,False,,False,,False,,False,,False,,False
Seabrook International Engineering Corp.,,False,,False,,False,Others,True,,False,,False,,False
Seiberling Rubber Co.,,False,,False,USC,True,,False,,False,,False,,False
"Servel, Inc.",,False,USO,True,,False,,False,,False,,False,USO,True
"Siemens Inc., New York",,False,DEO,True,,False,,False,,False,,False,,False
Signode International Limited,USO,True,,False,,False,,False,,False,,False,,False
Signode Steel Strapping Co.,USO,True,,False,USO,True,USO,True,,False,,False,,False
Silesian-American Corporation,,False,Others,True,USO,True,USO,True,,False,,False,,False
Singer Mfg. Co.,USO,True,USO,True,,False,,False,,False,,False,,False
"Socony-Vacuum Oil Company, Inc.",USO,True,USO,True,,False,,False,,False,,False,,False
Spirella International Incorporated,USO,True,,False,,False,,False,,False,,False,,False
St. Andrews Bay Lumber Co.,,False,,False,,False,Others,True,,False,,False,,False
St. Regis Paper Co.,USO,True,,False,,False,,False,,False,,False,,False
