German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Vol,Grossaktionär is a US comp,Director attached to a US company,US location linked to a director,US-sounding names,Bond issuance in the US,Other indicators,Other indicators are strong
"Lorenz, C. A.G.",,,,,C. Lorenz Aktiengesellschaft,"Vol 2, p. 768",,,,,,,
Maschinenfabrik Augsburg Nurnberg A. G. of Germany,,,,,Maschinenfabrik Augsburg-Nürnberg A.-G.,"Vol 1, p. 525",,,,,,,
Maschinenfabrik Banning & Seybold A.G.,,,,,"*Maschinenfabrik Banning & Seybold, Aktiengesellschaft","Vol 4, p. 630",,,,,,,
Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. ),,,,,Maschinenfabrik Act.-Ges. vorm. Wagner & Co.,"Vol 2, p. 670",,,,,,,
Midgard Deutsche Seeverkehrs A.G.,,,,,„Midgard“ Deutsche Seeverkehrs-Aktiengesellschaft,"Vol 3, p. 1348",,,,,,,
Minimax A. G.,,,,,Minimax-Aktiengesellschaft,"Vol 3, p. 674",,,,,,,
Muelheimer Bergwerks Verein A.G.,,,,,Mülheimer Bergwerksverein,"Vol 2, p. 524",,,,,,,
"Mundlos Akteingesellschaft, Magdeburg",,,,,Mundlos Aktien-Gesellschaft,"Vol 2, p. 1959",,,,,,,
Nassauer Hof A.G. (Hotel Nassau),,,,,Hotel Nassau (Nassauer Hof) Akt.-Ges.,"Vol 3, p. 1203",,,,,,,
Nica Nickelindustrie A.G.,,,,,Nica Nickel-Industrie Aktiengesellschaft,"Vol 1, p. 1715",,,,,,,
Niederrheinische Papier- u. Pappenfabrik Aktiengesellschaft.,,,,,Niederrheinische Papier- u. Pappenfabrik Akt.-Ges.,"Vol 1, p. 974",,,,,,,
Norddeustche Eiswerke A.G.,,,,,"Norddeutsche Eiswerke, Actien-Gesellschaft","Vol 2, p. 1448",,,,,,,
Norddeutsche Oelmuehlenwerke A.G.,,,,,Norddeutsche Oelmühlenwerke Akt.-Ges.,"Vol 3, p. 1762",,,,,,,
Norddeutsche Portland Cementfabrik Misburg,,,,,Norddeutsche Portland-Cement-Fabrik Misburg.,"Vol 2, p. 951",,,,,,,
Orga Akt. Ges.,,,,,Orga Aktiengesellschaft,"Vol 2, p. 1987",,,,,,,
Ottensenser Eisenwerke AG,,,,,Ottensener Eisenwerk Aktiengesellschaft,"Vol 2, p. 552",,,,,,,
"P. Wohl, Akt.-Ges.",,,,,"P. Wohl, Akt.-Ges. in .Frankfurt a. M.,","Vol 4, p. 1701",,,,,,,
Pressluftwerkzeug und Maschinenbau AG (Premag),,,,,Pressluftwerkzeug- und Maschinenbau Akt.-Ges. „Premag“,"Vol 3, p. 527",,,,,,,
Preussische Bergwerks- und Hutten Gesellschaft,,,,,Preussische Bergwerks- und Hütten-Akt.-Ges.,"Vol 1, p. 1686",,,,,,,
Robert Bosch A.G.,,,,,Robert Bosch A.-G.,"Vol 3, p. 671",,,,,,,
Schriftgiesserei und Messinglinienfabrik D. Stempel Akt.,,,,,"Schriftgiesserei D. Stempel, Akt.-Ges.","Vol 2, p. 636",,,,,,,
Schulke & Mayr A.G.,,,,,Schülke & Mayr Akt.-Ges.,"Vol 2, p. 1297",,,,,,,
"Siemens & Halske, A.G.",,,,,"Siemens & Halske, Akt.-Ges.","Vol 1, p. 714",,,,,,,
Siemens -Schuckertwerke A. G.,,,,,Siemens-Schuckertwerke Akt.-Ges.,"Vol 1, p. 722",,,,,,,
Singer Nahmaschinen Aktiengesellschaft,,,,,Singer Nähmaschinen Aktiengesellschaft,"Vol 2, p. 590",,,,,,,
Standard Zahnfabrik A.G.,,,,,"Standard Zahnfabrik, Akt.-Ges.","Vol 1, p. 1825",,,,,,,
Telephonfabrik Berliner AG,,,,,Telephonfabrik Berliner Aktiengesellschaft,"Vol 2, p. 781",,,,,,,
"Th. Goldschmidt of Essen, Germany",,,,,Th. Goldschmidt Akt.-Ges.,"Vol 2, p. 1261",,,,,,,
Vereinigte Aluminiumwerke A. G.,,,,,Vereinigte Aluminium-\Werke Akt.-Ges. zu Lautawerk,"Vol 1, p. 1720",,,,,,,
Vereinigte Bayerische Telephonwerke AG,,,,,Vereinigte Bayerische Telephonwerke Akt.-Ges.,"Vol 3, p. 746",,,,,,,
Vereinigte Berliner Kohlenhandel A.G.,,,,,Vereinigte Berliner Kohlenhändler-Akt.-Ges.,"Vol 3, p. 1567",,,,,,,
Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.,,,,,"Vereinigte Elektrizitätswerke Westfalen,","Vol 3, p. 709",,,,,,,
Vereinigte Glanzstoff A.G.,,,,,"Vereinigte Glanzstoff-Fabriken, A.-G.","Vol 2, p. 1181",,,,,,,
Verkehrs & Handels Aktiengesellschaft,,,,,Verkehrs- und Handels-Akt.-Ges.,"Vol 2, p. 460",,,,,,,
W. A. Schölten Stärke- und Syrup-Fabriken Aktiengesellschaft.,,,,,W. A. Scholten Stärke- u. Syrupfabriken Akt.-Ges.,"Vol 4, p. 1566",,,,,,,
Walsheim Brauerei Aktien-Gesellschaft vorm. Schmidt & Guttenberger.,,,,,Walsheim Brauerei-Aktiengesellschaft,"Vol 1, p. 1422",,,,,,,
Werschen-Weißenfelser Braunkohlen-Aktien-Gesellschaft.,,,,,Werschen -Weissenfelser Braunkohlen-Aktien-Gesellschaft,"Vol 2, p. 506",,,,,,,
Zukunft Lebensversicherungsbank Aktiengesellschaft.,,,,,Zukunft Lebensversicherungsbank Akt.-Ges.,"Vol 3, p. 1233",,,,,,,
