German subsidiary,TFR-500_link_type,TFR-500_org_type,TFR-500,Tenenbaum_link_type,Tenenbaum_org_type,Tenenbaum,Moodys 32_link_type,Moodys 32_org_type,Moodys 32,Moodys 34_link_type,Moodys 34_org_type,Moodys 34,IDed in HB 32_link_type,IDed in HB 32_org_type,IDed in HB 32,IDed in HB 34_link_type,IDed in HB 34_org_type,IDed in HB 34,IDed in HB GmbH_link_type,IDed in HB GmbH_org_type,IDed in HB GmbH
Titangesellschaft m.b.H.,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Tobis Klangfilm Co.,,,False,,,False,,,False,USC,Others,True,,,False,,,False,,,False
Tobis Tonbild-Syndikat Aktiengesellschaft,,,False,,,False,,,False,,,False,USO,AG,True,,,False,,,False
Torpedo-Werke A.G.,USO,AG,True,,,False,USO,AG,True,,,False,USO,AG,True,,,False,,,False
"Transport und Lagerhaus Gesellschaft, m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Trubenis Lisensverwertungs, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Unida Schiffstreuhand, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Union Special Maschinenfabrik G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
United Press (Deutschland) G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
United Press Associations,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
"United States Lines Operations, Inc.",USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Vaterland Oel Aktiengesellschaft,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Vereinigte Aluminiumwerke A. G.,,,False,DEO,AG,True,,,False,,,False,,,False,,,False,,,False
Vereinigte Asphalt und Teerproducktenfabriken Gesellschaft mit Beschrankter Haftung,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Vereinigte Bayerische Telephonwerke AG,USO,AG,True,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Vereinigte Berliner Kohlenhandel A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.,,,False,,,False,,,False,,,False,,,False,USOP,AG,True,,,False
Vereinigte Glanzstoff A.G.,,,False,DEO,Others,True,DEO,AG,True,,,False,,,False,,,False,,,False
Vereinigte Königs- und Laurahütte,,,False,,,False,,,False,,,False,USO,AG,True,USOP,AG,True,,,False
Vereinigte Riegel- und Schlossfabriken Act.-Ges.,,,False,,,False,USO,AG,True,USO,AG,True,USOP,AG,True,USC,AG,True,,,False
Vereinigte Stahlwerke,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Verkehrs & Handels Aktiengesellschaft,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
W. A. Schölten Stärke- und Syrup-Fabriken Aktiengesellschaft.,USO,AG,True,,,False,,,False,,,False,,,False,USO,AG,True,,,False
W. R. Warner & Co. G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
W. T. Grant Company,,,False,,,False,,,False,,,False,,,False,,,False,USOP,GmbH,True
Walsheim Brauerei Aktien-Gesellschaft vorm. Schmidt & Guttenberger.,,,False,,,False,,,False,,,False,,,False,USC,AG,True,,,False
Walter Kidde G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Waried Tankschiff Rhederei G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Warner, W.R. and Co. G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Warsteiner und Herzoglich Schleswig-Holsteinische Eisenwerke Aktiengesellschaft,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Watch Tower Bible & Tract Society (Wachtturn Bibel- und Traktat-Gesellschaft),USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Waterman Linien (Vertretung Bremen) G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Welheim Kohlenhandel G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Werkhof G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Werola Krepp & Buntpapierfabrik G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Werschen-Weißenfelser Braunkohlen-Aktien-Gesellschaft.,,,False,,,False,,,False,,,False,,,False,USC,AG,True,,,False
West-Oel Gesellschaft m.b.H.,USO,GmbH,True,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Western Electric G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Westinghouse Bremsen Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Wilheim Stern & Co. G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Wrigley Aktiengesellschaft,,,False,USO,AG,True,,,False,USO,AG,True,USOP,AG,True,USC,AG,True,,,False
Zahnfabrik Wienand Soehne & Co.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Zinnwerke Wilheimsburg G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Zoellner Werke G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Zuckerrubensaftfabrik,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Zukunft Lebensversicherungsbank Aktiengesellschaft.,,,False,,,False,,,False,,,False,,,False,USOP,AG,True,,,False
missing,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
„Miag“ Mühlenbau u. Industrie Aktiengesellschaft,,,False,DEO,Others,True,,,False,,,False,USC,AG,True,USC,AG,True,,,False
