German subsidiary,TFR-500_link_type,TFR-500_org_type,TFR-500,Tenenbaum_link_type,Tenenbaum_org_type,Tenenbaum,Moodys 32_link_type,Moodys 32_org_type,Moodys 32,Moodys 34_link_type,Moodys 34_org_type,Moodys 34,IDed in HB 32_link_type,IDed in HB 32_org_type,IDed in HB 32,IDed in HB 34_link_type,IDed in HB 34_org_type,IDed in HB 34,IDed in HB GmbH_link_type,IDed in HB GmbH_org_type,IDed in HB GmbH
Comptometer G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Concordia Hotel-Akt.-Ges.,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Continale Cautchoucgesellschaft,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany",,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
Continentale Gummiwerke A.G. ,,,False,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Convertgarten A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Corn Products Co.,,,False,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
Cosmo Montangesellschaft fuer metallurgische Interessen m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Credit Aktiengesellschaft für Ford-Fahrzeuge.,,,False,USO,AG,True,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Creed Telegraph Apparate G.m.b.H.,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
D. S. Loewe Radio A.G. of Berlin (Germany) ,,,False,,,False,,,False,USC,AG,True,,,False,,,False,,,False
Damm & Ladwig Kommandit Gesellschaft und Dulv Aktiengesellschaft,USO,AG,True,USO,Others,True,USO,AG,True,USO,AG,True,USOP,AG,True,,,False,,,False
Danziger Handels- und Industriebank Akt.-Ges.,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Danziger Hypothekenbank Akt.-Ges.,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Dartex Aktiengesellschaft für Kautschuk-Verarbeitung,,,False,,,False,USO,AG,True,,,False,USO,AG,True,,,False,,,False
"Defaka, Deustche Familienkaufhaus G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Denver Chemical Mfg. Co. G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Deustche Babcock & Wilcock,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Deutsch-Amerikanische Petroleum-Gesellschaft,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,,,False
Deutsch-Atlantische Telegraphengesellschaft,,,False,,,False,,,False,,,False,USOP,AG,True,USC,AG,True,,,False
Deutsche American Shipping Co. (Bremen) G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Deutsche Babcock & Wilcox Dampfkessel-Werke AG,,,False,,,False,,,False,,,False,,,False,USOP,AG,True,,,False
Deutsche Burroughs Rechenmaschinen AG,USO,AG,True,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Deutsche Carborumdum Werke,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Deutsche Celotex Vertrieb,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,USO,GmbH,True
Deutsche Fox-Film Aktiengesellschaft,,,False,USO,AG,True,USO,AG,True,USO,AG,True,USOP,AG,True,USC,AG,True,,,False
Deutsche Gasolin AG,USO,AG,True,USO,AG,True,,,False,,,False,,,False,,,False,,,False
"Deutsche Geschaftmaschinen Gesellschaft, m.b.H.",,,False,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False
Deutsche Goodrich Compagnie G.m.b.H.,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Deutsche Heraklith A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"Deutsche Hollerith Maschinen Gesellschaft, m.b.H.",USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False
"Deutsche Houghton Fabrik, K. G.",USC,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Deutsche Johnson A. G.,,,False,USO,AG,True,,,False,,,False,USC,AG,True,,,False,,,False
Deutsche Landerbank Aktiengesellschaft,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Deutsche Libbey-Owens Gesellschaft für machinelle Glasherstellung A.G.,,,False,USO,AG,True,USC,Others,True,USC,Others,True,,,False,,,False,,,False
"Deutsche Libby Gesellschaft, m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Deutsche Maizena G.m.b.H.,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Deutsche Maizena Werke AG,USO,AG,True,USO,AG,True,,,False,,,False,USC,AG,True,USC,AG,True,,,False
"Deutsche Norton-Gesellschaft, m.b.H.",USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
"Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.",,,False,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Deutsche Schollwerke G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Deutsche Standard Werke G. m. b. H.,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
Deutsche Tafelglas Aktiengesellschaft (Detag). ,,,False,USO,AG,True,,,False,,,False,,,False,USOP,AG,True,,,False
"Deutsche Timken G.m.b.H., of Berlin",,,False,USO,GmbH,True,USO,GmbH,True,USOP,GmbH,True,,,False,,,False,,,False
Deutsche Ueberseeische Bank,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Deutsche Underwood Elliott Fisher G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
"Deutsche Universal Film, A.G.",USO,AG,True,USO,AG,True,,,False,USO,AG,True,,,False,,,False,,,False
Deutsche Vacuum Oel AG,USO,AG,True,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Deutsche Vereinigte Schuhmaschinen Gesellschaft,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Deutsche Vertriebs Gesellschaft m.b.H. für Naturgetränke,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Deutsche Worthington Gesellschaft m.b.H.,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Deutsche-Fox Film A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Dietaphone Co. m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Dorr Gesellschaft m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"Dorr-Oliver G.m.b.H., Berlin, Germany",,,False,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False
Dr. Erich F. Huth G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Dreipreis Waren-Vertriebs-Aktiengesellschaft in Liqu.,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Duco AG,USO,AG,True,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Dumont,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Durant Motors,,,False,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
"Durer Scheifmittel, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Dynamit-Act.-Ges. vormals Alfred Nobel & Co.,,,False,USO,AG,True,,,False,,,False,USO,AG,True,USO,AG,True,,,False
E. Gundlach A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
E. Merck of Munich,,,False,,,False,,,False,USC,Others,True,,,False,,,False,,,False
Eagle Oil Company of New York,,,False,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
Ebano Asphalt Gesellschaft m.b.H.,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
Ebano Asphalt-Werke Aktiengesellschaft,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,,,False,,,False,,,False
Eberhard Faber Kommanditgesellschaft,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Edoel-Bergbau Aktiengesellschaft Celle Norddeutsche Mineraloel Aktiengesellschaft,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Eduard Winter Akt.-Ges. für Kraftfahrzeuge,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
