German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),other sources,notes,Vol,location,date,capital,business,persons,type
Bausch & Lomb Optical Co.,Bausch & Lomb Optical Co.,USO,GmbH,Bausch & Lomb Optical Company,Bausch & Lomb Optical Co.,,,"Vol 1, p. 102","Frankfurt a. M., Schillerstraße 30",30.7.02,"RM 100,000",Fabrikation und Vertrieb von optischen Instrumenten aller Art,August Heinrich Lomb,1 Gf or 1 Pk
Blaw-Knox,Blaw-Knox Co.,USO,GmbH,Blaw-Knox Company,Blaw-Knox,,,"Vol 1, p. 152","Düsseldorf, Sternstr. 9",6.3.30,"RM 100,000","Herstellung, Vertrieb u. Errichtung von Maschinen u. Ingenieurbauten",W. Schwier,1 Gf.
Boston Blacking Company G.m.b.H.,United Shoe Machinery Corporation,USO,GmbH,Boston Blacking Company,Boston Blacking Company,,In TFR-500 the parent is United Shoe Machinery Corporation,"Vol 1, p. 167",Oberursel,23.12.03,RM 240 000,"Herstellung und Vertrieb von Tinten, Farben und Appreturen zur Verwendung in der Schuh- und Lederfabrikation",Svend Jernvet; Georg D. Pike (Boston); John Rollin Stuart,1 Gf. od. je 1 Pk. P.K. Ffm. 2423
"Butler Brothers, G.m.b.H.",Butler Brothers,USO,GmbH,Butler Brothers,Butler Brothers,,,"Vol 1, p. 201","Sonneberg, Thüringen",22.7.09,RM 154 000,Export von Waren aller Art nach Nordamerika,J. Hornbeck; Schoonmacker; P. Schütt,1 Gf. od. 2 Pk. od. 1 Pk.
Chesebrough Manufacturing Co. G.m.b.H.,Chesebrough Manufacturing Co. Consolidated,USO,GmbH,Chesebrough Manufacturing Co. (Cons.),Chesebrough Manufacturing Company,,,"Vol 1, p. 223","Berlin SO 16, Köpenicker Str. 127",31.8.16,RM 20 000,Vertrieb von amerikanischen Spezialitäten der pharmazeutischen Branche,Dir. Maximilian Gethmann,1 Gf.
Coca-Cola G.m.b.H.,"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",USO,GmbH,Coca-Cola International Corporation,Coca-Cola,,,"Vol 1, p. 228",Essen,24.5.30,"RM 300,000","Herstellung von und Handel mit alkoholfreien Getränken, Ausnutzung des Warenzeichens Coca-Cola",A. H. Staton,1 Gf.
Corn Products Co.,Corn Products Refining Company,USO,GmbH,Corn Products Refining Company,Corn Products Co.,https://fraser.stlouisfed.org/title/commercial-financial-chronicle-1339/june-5-1909-497115/fulltext,"""All capital stock of Corn Products Co., m.b.H. Hamb'g(M.100,000) 23,700,217,000""","Vol 1, p. 236","Hamburg, Spaldingstraße 216/18",14.3.05,"RM 1,500,000",Vertrieb von Maisprodukten,E. G. H. Dircks,1 Gf. od. 2 Pk.
Deutsche Celotex Vertrieb,Celotex Co.,USO,GmbH,Celotex Company,Deutsche Celotex Vertrieb,,,"Vol 1, p. 265",Potsdam,8.7.07,RM 150000,"Vertrieb von Isolier- und Bauplatten, insbesondere der Celotexplatten",R. Schweizer; A. Hafner,R.
Deutsche Underwood Elliott Fisher G.m.b.H.,Underwood Elliott Fisher Company,USO,GmbH,Underwood Elliott Fisher Company,Deutsche Underwood Elliot Fisher,,,"Vol 1, p. 281",Berlin,7. 9. 31,RM 100 000,"Handel mit Schreib- und Büromaschinen aller Art, Generalvertrieb der Erzeugnisse der Underwood Elliot Fisher Comp., New York",And. Lorant,Jed. Gf.
Durant Motors,"Durant Motors, Inc.",USO,GmbH,"Durant Motors, Inc.",Durant Motors,https://digi.bib.uni-mannheim.de/periodika/reichsanzeiger/ocr/film/tesseract-4.0.0-20181201/009-8450/0698.hocr,"US parent went broke in 1933, GmbH was also liquidated in 1933","Vol 1, p. 311","Berlin W 9, Voßstr. 7",15. 5. 28,RM 300 000,Herstellung und Vertrieb von Kraftfahrzeugen und Zubehörteilen,Dr. Jul. Dünkelsbühler; W. C. Durant,Jed. Gf.
Eagle Oil Company of New York,Eagle Oil Company,USO,GmbH,Eagle Oil Company,Eagle Oil Company of New York,Name of GmbH,,"Vol 1, p. 312","Hamburg, Kirchenallee 25",5. 6. 09,RM 100 000,Fabrikation u. Vertrieb von Gelen u. Fetten,G. F. C. von Krogh; V. A. E. Hüne,Jed. Gf.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 338","Berlin-Tempelhof, Oberlandstr. 36. Zweign. Danzig",10.7.25,"RM 250,000",Vertrieb von Elektrolux-Apparaten (Staubsaugern),Dir. Dr. E. Müllendorff; A. Melin-Högrell; W. Frhr. von Bischoffshausen,2 Gf. od. 1 Gf. u. 1 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 338",Breslau,31.7.25,"RM 100,000",Vertrieb von Elektrolux-Staubsaugern,A. Melin-Högrell,1 od. 2 Gf. od. 1 Gf. u. 1 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 338","Frankfurt a. M., Goethestr. 14",15.8.25,"RM 150,000",Vertrieb von Elektrolux-Apparaten u. sonstigen elektrotechnischen Artikeln,Dr. E. Müllendorff,2 Gf. od. 1 Gf.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339","Hamburg, Mönckebergstr. 18",23.7.25,"RM 250,000",Vertrieb von Elektrolux-Apparaten,W. Frh. von Bisohoffshausen; R. Voß; A. Melin-Högrell,1 od. 2 Gf. od. 1 Gf. u. 1 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339","Hannover, Seilwindstr. 4/5",12.8.25,"RM 150,000",Vertrieb von Elektrolux-Apparaten u. sonstigen elektrotechnischen Artikeln,Dr. E. Müllendorff,2 Gf. od. 1 Gf.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339","Köln, Altermarkt 26",13.8.25,"RM 300,000",Vertrieb von Elektrolux-Apparaten und sonstigen elektrotechnischen Artikeln,W. Frh. von Bischoffshausen; M. Kornalewski; Dr. E. Müllendorff,2 Gf. od. 1 Gf. u. 1 Pk. od. 2 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339","Leipzig, Universitätsstr. 8",18.8.25,"RM 150,000","Vertrieb von Elektrolux-Apparaten u. sonst, elektrotechnischen Artikeln",Dr. E. Müllendorff,I od. 2 Gf. od. 1 Gf. u. 1 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339","München, Salvatorstr. 18",17.8.25,"RM 250,000",Vertrieb von Elektrolux-Apparaten u. sonstigen elektrotechnischen Artikeln,W. Frh. von Bischoffshausen; A. Melin-Högrell; Dr. H. Frh. von Hünefeld,2 Gf. od. 1 Gf. u. 1 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339",Stettin,28.7.25,"RM 100,000",Vertrieb von Elektrolux-Apparaten und sonstigen elektrotechnischen Artikeln,Dr. E. Müllendorff,2 Gf. od. 1 Gf.
General Motors G.m.b.H.,General Motors Corporation (Overseas Operations),USO,GmbH,General Motors Corporation,General Motors,,,"Vol 1, p. 435","Berlin-Borsigwalde, Charlottenburger Straße 65—89",6.2.25,RM 1000 000,Fabrikation von Automobilen,A. J. Wieland,Der Gf.
"Hobart Maschinen Gesellschaft, m.b.H.",The Hobart Manufacturing Company,USO,GmbH,Hobart Manufacturing Company,Hobart Maschinen,,,"Vol 1, p. 587",Hamburg,7.3.30,RM 200 000,Vertrieb von Hobart-Maschinen für die Zubereitung von Nahrungsmitteln,R. H. Wark,1 od. 2 Gf.
Ingersoll-Rand,Ingersoll-Rand Company,USO,GmbH,Ingersoll-Rand Company,Ingersoll-Rand,https://de.wikipedia.org/wiki/Ingersoll_Rand,Das Unternehmen wurde 1871 unter dem Namen Ingersoll Rock Drill Company gegründet. 1905 folgte der Zusammenschluss mit der Rand Drill Company zur Ingersoll-Rand Company. Es existierte zudem eine Ingersoll-Rand GmbH (Geschäftsführer ab 1973: Hans-Joachim Sassenberg).,"Vol 1, p. 627",Frankfurt a. M.,2.11.29,RM 150 000,"Erzeugung, Reparatur u. Handel von Preßluftmaschinen, Preßluftwerkzeugen u. Motoren",J. Bolton,1 od. 2 Gf.
"International Harvester Company, m.b.H.",International Harvester Company,USO,GmbH,International Harvester Company,International Harvester Company,,,"Vol 1, p. 630","Neuß. Zweign. Berlin, Breslau, Hamburg, Königsberg i. Pr., Leipzig",30. 12. 08,RM 12 000 000,"Herstellung und Vertrieb von Maschinen, insbesondere landwirtschaftlicher Maschinen",F. J. Brown; P. O. Pleiß; J. G. Sawall; Th. E. Stelter; J. J. Hertz; J. Eigen; A. Rentsch; H. Emch,Jed. Gf.
Kraft Kaese Werke G.m.b.H.,Kraft Cheese Company,USO,GmbH,Kraft-Phenix Cheese Corporation,Kraft Cheese Company,,,"Vol 1, p. 714","Hamburg, Esplanade 6",28. 4. 27,RM 20 000,"Handel mit Produkten der Kraft Cheese Company Ltd., Chicago, sowie Handel mit Lebensmitteln aller Art",Edw. Hermann Kenworthy,1 Gf.
"Parker Pen Co., G.m.b.H., Berlin, Germany",Parker Pen Co.,USO,GmbH,Parker Pen Company,Parker Pen,,,"Vol 1, p. 950","Berlin W 8, Taubenstr. 46 IV",25. 1. 30,EM 250 000,"Import u. Vertrieb der Erzeugnisse der Akt.-Ges. Parker Pen Company, nämlich Goldfüllfederhalter, Füllbleistifte u. andere Schreibutensilien",A. E. Zoccola,1 Gf
Philip Morris & Co. Limited G.m.b.H.,"Philip Morris & Co. Ltd., Inc.",USO,GmbH,"Philip Morris & Co., Ltd., Ind.",Philip Morris & Company Limited,,,"Vol 1, p. 865","Berlin SW 11, Anhaltstraße 14",29. 3. 28,RM 20 000,Herstellung u. Vertrieb von Tabakerzeugnissen u. Rauchutensilien,Eugen Koch; G. Alexander Ledingham,1 Gf.
Quaker Oats Co. G.m.b.H.,Quaker Oats Co.,USO,GmbH,Quaker Oats Company,Quaker Oats Company,,,"Vol 1, p. 990","Elsen, Amtsger. Grevenbroich",29. 12. 06,RM 60 000,"Handel mit Bodenfrüchten, Herstellung von Produkten aus Bodenfrüchten",E. Noell,1 Gf.
Reece Machinery Company,The International Button Hole Sewing Machine Company,USO,GmbH,Reece Folding Machine Company,Reece Machinery Co.,,In other sources the parent is The International Button Hole Sewing Machine Company,"Vol 1, p. 1003",Frankfurt a. M.,9. 9. 30,RM 20 000,Vertretung der International Button Hobo Seving Machine Company in Boston als der alleinigen Lieferantin von Reece Maschinen.,J. Reece; W. M. Finkle; H. Bunkenburg,"Gf. R. u. F. allein, sonst 2 Gf."
S. Oppenheimer & Co.,Oppenheimer (S.) & Company,USO,GmbH,Oppenheimer (S.) & Company,S. Oppenheimer & Co.,closed in 1935,"The business descriptions in Handbuch and Moody's 32 overlap in sausage preparation, and Moody's 32 indicates that there's a branch operating in Hamburg.","Vol 1, p. 930","Hamburg, Catharinenkirchhof 2",27. 8. 20,RM 10 000,"Handelsgeschäfte mit Därmen, u. anderen animalischen Produkten",A. W. Kempner; L. C. Stör,Jed. Gf.
German-American Tobacco Co.,German-American Tobacco Co.,USO,GmbH,German-American Tobacco Co.,German American Tobacco Company,,"* needs further research *In TFR-500 the parent firm is Standard Commercial Tobacco Co., Inc.","Vol 1, p. 439","Berlin W 10, Lützowufer 17",27. 5. 31,RM 20 000,"Handel mit Tabak und Tabakserzeugnissen aller Art, insbesondere auch Einfuhr solcher Gegenstände aus Amerika",F. Wirth jun.,1 od. 2 Gf.
Holophane-Gesellschaft,"Holophane Company, Inc.",USOP,GmbH,"Holophane Company, Inc.",Holophane-Gesellschaft,https://digi.bib.uni-mannheim.de/viewer/reichsanzeiger/film/108-9516/0241.jp2,unclear if ownership or only patent/profit sharing,"Vol 1, p. 597","Berlin SW 68, Alte Jakobstraße 20/22",16.5.11,"RM 20,000",Vertrieb der Produkte der Holophane-Gesellschaft oder deren Fabrikation in Deutschland,J. Franck,Der Gf.
Hupp Motors,Hupp Motor Car Corporation,USOP,GmbH,Hupp Motor Car Corporation,Hupp Motors,,see email 2025-05-08,"Vol 1, p. 612",Hamburg,10. 6. 29,RM 20 000,"Verkauf, Lagerung u. Spedition von Beförderungsmitteln, insbesondere von Automobilen der Hupp Motor Car Corp, in Detroit",Th. Onken,
W. T. Grant Company,"Grant, (W. T.) Company",USOP,GmbH,"Grant, (W. T.) Company",W. T. Grant Company,https://digi.bib.uni-mannheim.de/viewer/reichsanzeiger/film/055-9015/0252.jp2,,"Vol 1, p. 475","Berlin SW 68, Ritterstr. 73",29.4.26,RM 20 000,"Vertretung überseeischer, insbesondere amerikanischer Firmen",A. Ostermann,1 od. 2 Gf.
"""Borvisk"" Kunstseiden-Vertriebsgesellschaft, m.b.H.",,,GmbH,,Borvisk-Kunstseiden Vertriebsgesellschaft,,,"Vol 1, p. 166","Berlin W 62, Maaßenstr. 36",26.5.15,RM 40 000,Herstellung von Kunstseide,Dr. jur. E. Wohrizek; Alfr. Demant,2 Gf. od. 1 Gf. u. 1 Pk. od. 2 Pk.
"""Volta"" Telephon & Signalbau G.m.b.H.",,,GmbH,,Volta Telephon- und Signalbau,,,"Vol 1, p. 1303","Berlin W 35, Potsdamei-Straße 38",1.7.05,RM 268 000,"Installation, Verkauf von Telefon-, Telegrafen- u. sonstigen Anlagen",A. Hoffmann; L. Hoepfner,2 Gf. gern.
Adrema Maschinenebau G.m.b.H.,,,GmbH,,„Adrema“ Maschinenbau-Gesellschaft,,,"Vol 1, p. 23","Berlin-Charlottenburg, Alt-Moabit 62/63",2. 4. 13,RM 1000 000,Maschinenfabrikation,Julius Goldschmidt,1 Gf. od. 2 Pk
"Allgemeine Erdol Gesellschaft, m.b.H.",,,GmbH,,Allgemeine Erdölgesellschaft,,,"Vol 1, p. 34",Oldenburg,21. 8. 24,RM 20 000,Erdöl,Chester Naramore; Todd M. Pettigrew,Jed. Gf.
Allgemeine Finanzierungs Gesellschaft m.b.H.,,,GmbH,,Allgemeine Finanzierungs - Gesellschaft,,,"Vol 1, p. 34","Rüsselsheim, Zweign. Berlin",30. 6. 29,RM 3 000 000,Gewährung von Krediten,Hans C. de Mierre,1 od. 2 Gf.
"Allgemeine Oel-Handels, GmbH. (Oelhag)",,,GmbH,,Allgemeine Oel-Handels-Gesellschaft,,,"Vol 1, p. 36","Hamburg, Mittelweg 38",8. 12. 20,RM 9 000 000,Handel mit Gelen und verwandten Waren,Emanuel Rein,2 Gf. od. 1 Gf. od. 2 Pk.
"Almco Waschereimaschinen, GmbH",,,GmbH,,Alinco Wäschereimaschinen,,,"Vol 1, p. 38","Köln, St.-Apern-Straße 51",29. 8. 27,RM 2 000 0000,Herstellung u. Vertrieb von Wäschereimaschinen,Karl J. Haug; Robert Repsold,2 Gf.
"Ambi-Budd Presswerk, G.m.b.H.",,,GmbH,,Ambi-Bud Preßwerk,,,"Vol 1, p. 43","Berlin, Friedrichstr. 209",12.2.26,RM 10 000 000,Betrieb eines Preßwerks,Hugo Brand; Ludwig Loeb; Dr. jur. Rudolf Schröder; Wilfried Weise,2 Gf. od. 1 Gf. u. 1 Pk.
American Express Company mit Beschrankter Haftung,,,GmbH,,American Expreß Company,,,"Vol 1, p. 43","Berlin W 8, Charlottenstraße 55",14.5.07,RM 1 000 000,Schiffsspedition und Bankgeschäfte,Wilhelm Duebgen; Paul Giese; Herm. Privonilz; W. J. Thomas,2 Gf. oder 1 Gf. und 1 Pk. oder 2 Pk. Thomas allein
Anker Kohlen & Brikettwerke G.m.b.H.,,,GmbH,,Kohlen- u. Brikettvertrieb,,,"Vol 1, p. 700","Köln-Mülheim, Vincenzstr. Nr. 8/12",3.8.27,RM 20000,Kohlenhandel,Carl Brendgen; Peter Modder,2 Gf- od. 1 Gf. u. 1 Pk.
Artus Hanse Transport G.m.b.H.,,,GmbH,,Artus-Hansa Transportgesellschaft,,,"Vol 1, p. 57",Königsberg,7. 11. 19,Not specified,Not specified,,"Zweign. Pillau, Tilsit, Prostken, Eydtkuhnen"
